time,times
07-07-04,0
07-07-05,0
07-07-06,0
07-07-07,0
07-07-08,0
07-07-09,0
07-07-10,0
07-07-11,0
07-07-12,0
07-07-13,0
07-07-14,0
07-07-15,0
07-07-16,0
07-07-17,0
07-07-18,0
07-07-19,0
07-07-20,0
07-07-21,0
07-07-22,0
07-07-23,0
07-08-00,0
07-08-01,0
07-08-02,0
07-08-03,0
07-08-04,0
07-08-05,0
07-08-06,0
07-08-07,0
07-08-08,0
07-08-09,0
07-08-10,0
07-08-11,0
07-08-12,0
07-08-13,0
07-08-14,0
07-08-15,0
07-08-16,0
07-08-17,0
07-08-18,0
07-08-19,0
07-08-20,0
07-08-21,0
07-08-22,0
07-08-23,0
07-09-00,0
07-09-01,0
07-09-02,0
07-09-03,0
07-09-04,0
07-09-05,0
07-09-06,0
07-09-07,0
07-09-08,0
07-09-09,0
07-09-10,0
07-09-11,0
07-09-12,0
07-09-13,0
07-09-14,0
07-09-15,0
07-09-16,0
07-09-17,0
07-09-18,0
07-09-19,0
07-09-20,0
07-09-21,0
07-09-22,0
07-09-23,0
07-10-00,1
07-10-01,0
07-10-02,0
07-10-03,0
07-10-04,0
07-10-05,0
07-10-06,0
07-10-07,0
07-10-08,0
07-10-09,0
07-10-10,0
07-10-11,0
07-10-12,0
07-10-13,0
07-10-14,0
07-10-15,0
07-10-16,0
07-10-17,0
07-10-18,0
07-10-19,0
07-10-20,0
07-10-21,0
07-10-22,0
07-10-23,0
07-11-00,0
07-11-01,0
07-11-02,0
07-11-03,0
07-11-04,0
07-11-05,0
07-11-06,0
07-11-07,0
07-11-08,0
07-11-09,0
07-11-10,0
07-11-11,0
07-11-12,0
07-11-13,0
07-11-14,0
07-11-15,0
07-11-16,0
07-11-17,0
07-11-18,0
07-11-19,0
07-11-20,0
07-11-21,0
07-11-22,0
07-11-23,0
07-12-00,0
07-12-01,0
07-12-02,0
07-12-03,0
07-12-04,0
07-12-05,0
07-12-06,0
07-12-07,0
07-12-08,0
07-12-09,0
07-12-10,0
07-12-11,0
07-12-12,0
07-12-13,0
07-12-14,0
07-12-15,0
07-12-16,0
07-12-17,0
07-12-18,0
07-12-19,0
07-12-20,0
07-12-21,0
07-12-22,0
07-12-23,0
07-13-00,0
07-13-01,0
07-13-02,0
07-13-03,0
07-13-04,0
07-13-05,0
07-13-06,0
07-13-07,0
07-13-08,0
07-13-09,0
07-13-10,0
07-13-11,0
07-13-12,0
07-13-13,0
07-13-14,0
07-13-15,0
07-13-16,0
07-13-17,0
07-13-18,0
07-13-19,0
07-13-20,0
07-13-21,0
07-13-22,0
07-13-23,0
07-14-00,0
07-14-01,0
07-14-02,0
07-14-03,0
07-14-04,0
07-14-05,0
07-14-06,0
07-14-07,0
07-14-08,0
07-14-09,0
07-14-10,0
07-14-11,0
07-14-12,0
07-14-13,0
07-14-14,0
07-14-15,0
07-14-16,0
07-14-17,0
07-14-18,0
07-14-19,0
07-14-20,0
07-14-21,0
07-14-22,0
07-14-23,0
07-15-00,0
07-15-01,0
07-15-02,0
07-15-03,0
07-15-04,0
07-15-05,0
07-15-06,0
07-15-07,0
07-15-08,0
07-15-09,0
07-15-10,0
07-15-11,0
07-15-12,0
07-15-13,0
07-15-14,0
07-15-15,0
07-15-16,0
07-15-17,0
07-15-18,0
07-15-19,0
07-15-20,0
07-15-21,0
07-15-22,0
07-15-23,0
07-16-00,0
07-16-01,0
07-16-02,0
07-16-03,0
07-16-04,0
07-16-05,0
07-16-06,0
07-16-07,0
07-16-08,0
07-16-09,0
07-16-10,0
07-16-11,0
07-16-12,0
07-16-13,0
07-16-14,0
07-16-15,0
07-16-16,0
07-16-17,0
07-16-18,0
07-16-19,0
07-16-20,0
07-16-21,0
07-16-22,0
07-16-23,0
07-17-00,0
07-17-01,0
07-17-02,0
07-17-03,0
07-17-04,0
07-17-05,0
07-17-06,0
07-17-07,0
07-17-08,0
07-17-09,0
07-17-10,0
07-17-11,0
07-17-12,0
07-17-13,0
07-17-14,0
07-17-15,0
07-17-16,0
07-17-17,0
07-17-18,0
07-17-19,0
07-17-20,0
07-17-21,0
07-17-22,0
07-17-23,0
07-18-00,0
07-18-01,0
07-18-02,0
07-18-03,0
07-18-04,0
07-18-05,0
07-18-06,0
07-18-07,0
07-18-08,0
07-18-09,0
07-18-10,0
07-18-11,0
07-18-12,0
07-18-13,0
07-18-14,0
07-18-15,0
07-18-16,0
07-18-17,0
07-18-18,0
07-18-19,0
07-18-20,0
07-18-21,0
07-18-22,0
07-18-23,0
07-19-00,0
07-19-01,0
07-19-02,0
07-19-03,0
07-19-04,0
07-19-05,0
07-19-06,0
07-19-07,0
07-19-08,0
07-19-09,0
07-19-10,0
07-19-11,0
07-19-12,0
07-19-13,0
07-19-14,0
07-19-15,0
07-19-16,0
07-19-17,0
07-19-18,0
07-19-19,0
07-19-20,0
07-19-21,0
07-19-22,0
07-19-23,0
07-20-00,0
07-20-01,0
07-20-02,0
07-20-03,0
07-20-04,0
07-20-05,0
07-20-06,0
07-20-07,0
07-20-08,0
07-20-09,0
07-20-10,0
07-20-11,0
07-20-12,0
07-20-13,0
07-20-14,0
07-20-15,0
07-20-16,0
07-20-17,0
07-20-18,0
07-20-19,0
07-20-20,0
07-20-21,0
07-20-22,0
07-20-23,0
07-21-00,0
07-21-01,0
07-21-02,0
07-21-03,0
07-21-04,0
07-21-05,0
07-21-06,0
07-21-07,0
07-21-08,0
07-21-09,0
07-21-10,0
07-21-11,0
07-21-12,0
07-21-13,0
07-21-14,0
07-21-15,0
07-21-16,0
07-21-17,0
07-21-18,0
07-21-19,0
07-21-20,0
07-21-21,0
07-21-22,0
07-21-23,0
07-22-00,4033
07-22-01,2533
07-22-02,73
07-22-03,0
07-22-04,0
07-22-05,3
07-22-06,0
07-22-07,230
07-22-08,263
07-22-09,277
07-22-10,944
07-22-11,6169
07-22-12,4133
07-22-13,4877
07-22-14,4442
07-22-15,593
07-22-16,432
07-22-17,378
07-22-18,667
07-22-19,429
07-22-20,972
07-22-21,82
07-22-22,1
07-22-23,271
07-23-00,1497
07-23-01,2157
07-23-02,1850
07-23-03,2638
07-23-04,3447
07-23-05,472
07-23-06,67
07-23-07,79
07-23-08,241
07-23-09,344
07-23-10,396
07-23-11,125
07-23-12,261
07-23-13,135
07-23-14,105
07-23-15,122
07-23-16,103
07-23-17,87
07-23-18,22
07-23-19,0
07-23-20,8
07-23-21,33
07-23-22,10
07-23-23,10
07-24-00,51
07-24-01,50
07-24-02,192
07-24-03,95
07-24-04,170
07-24-05,318
07-24-06,160
07-24-07,294
07-24-08,236
07-24-09,244
07-24-10,2325
07-24-11,2199
07-24-12,1381
07-24-13,1556
07-24-14,501
07-24-15,2067
07-24-16,2607
07-24-17,1956
07-24-18,3589
07-24-19,4200
07-24-20,4183
07-24-21,4175
07-24-22,4581
07-24-23,2468
07-25-00,3868
07-25-01,3883
07-25-02,3580
07-25-03,3861
07-25-04,2903
07-25-05,3322
07-25-06,3271
07-25-07,5634
07-25-08,2891
07-25-09,2016
07-25-10,1472
07-25-11,3090
07-25-12,4637
07-25-13,1345
07-25-14,1453
07-25-15,3936
07-25-16,3181
07-25-17,2483
07-25-18,601
07-25-19,747
07-25-20,576
07-25-21,684
07-25-22,1900
07-25-23,729
07-26-00,452
07-26-01,531
07-26-02,1536
07-26-03,858
07-26-04,0
07-26-05,12
07-26-06,930
07-26-07,1026
07-26-08,8
07-26-09,2021
07-26-10,7169
07-26-11,5825
07-26-12,5675
07-26-13,5789
07-26-14,5664
07-26-15,6447
07-26-16,7131
07-26-17,5614
07-26-18,5760
07-26-19,4162
07-26-20,364
07-26-21,492
07-26-22,2451
07-26-23,1393
07-27-00,2006
07-27-01,2449
07-27-02,1406
07-27-03,2785
07-27-04,2576
07-27-05,1758
07-27-06,1740
07-27-07,2354
07-27-08,4620
07-27-09,4614
07-27-10,4492
07-27-11,3798
07-27-12,4466
07-27-13,3756
07-27-14,0
07-27-15,0
07-27-16,0
07-27-17,0
07-27-18,0
07-27-19,0
07-27-20,0
07-27-21,0
07-27-22,0
07-27-23,0
07-28-00,0
07-28-01,0
07-28-02,0
07-28-03,0
07-28-04,0
07-28-05,0
07-28-06,0
07-28-07,0
07-28-08,0
07-28-09,0
07-28-10,0
07-28-11,0
07-28-12,0
07-28-13,0
07-28-14,0
07-28-15,0
07-28-16,0
07-28-17,0
07-28-18,0
07-28-19,0
07-28-20,0
07-28-21,0
07-28-22,0
07-28-23,0
07-29-00,0
07-29-01,0
07-29-02,0
07-29-03,0
07-29-04,0
07-29-05,0
07-29-06,0
07-29-07,0
07-29-08,0
07-29-09,0
07-29-10,0
07-29-11,0
07-29-12,0
07-29-13,0
07-29-14,0
07-29-15,0
07-29-16,0
07-29-17,0
07-29-18,0
07-29-19,0
07-29-20,0
07-29-21,0
07-29-22,0
07-29-23,0
07-30-00,0
07-30-01,0
07-30-02,0
07-30-03,0
07-30-04,0
07-30-05,0
07-30-06,0
07-30-07,0
07-30-08,0
07-30-09,0
07-30-10,0
07-30-11,0
07-30-12,0
07-30-13,0
07-30-14,0
07-30-15,0
07-30-16,0
07-30-17,0
07-30-18,0
07-30-19,0
07-30-20,0
07-30-21,0
07-30-22,0
07-30-23,0
